State,Median Household Income 
Alaska,74346
Hawaii,80212
California,75277
Oregon,63426
Washington,74073
Idaho,55583
Nevada,58646
Utah,71414
Arizona,59246
New Mexico,74169
Texas,60629
Louisiana,47905
Mississippi,44717
Alabama,49861
Florida,55462
Georgia,58756
Tennesse,52375
Arkansas,47062
Oklahoma,51924
Kansas,58218
Colorado,71953
Montana,55328
North Dakota,63837
South Dakota,56724
Minnesota,70315
Wyoming,61584
Nebraska,59566
Iowa,59955
Missouri,54478
Wisconsin,60773
Michigan,56697
Illinois,65030
Kentucky,50247
Indiana,55746
Ohio,56111
Pennsylvania,60905
New York,67844
Vermont,60782
Maine,55602
Massachusetts,79835
Connecticut,76348
Rhode Island,64340
New Jersey,81740
Maryland,83242
District of Columbia,85203
Virginia,72577
West Virginia,44097
North Carolina,53855
South Carolina,52306
Delaware,64805
