State,Test Score
Minnesota,248
Massachusetts,247
Virginia,247
Florida,246
New Jersey,246
Wyoming,246
Indiana,245
New Hampshire,245
Pennsylvania,244
Utah,244
Nebraska,244
Texas,244
Connecticut,243
North Dakota,243
Idaho,242
Colorado,242
Wisconsin,242
North Carolina,241
South Dakota,241
Ohio,241
Montana,241
Maine,241
Mississippi,241
Iowa,241
Tennessee,240
Washington,240
Kansas,239
Rhode Island,239
Delaware,239
Kentucky,239
Vermont,239
Hawaii,239
Maryland,239
Missouri,238
Georgia,238
Arizona,238
Illinois,237
Oklahoma,237
South Carolina,237
New York,237
Oregon,236
Michigan,236
Nevada,236
California,235
District of Columbia,235
Arkansas,233
Alaska,232
West Virginia,231
Louisiana,231
New Mexico,231
Alabama,230
Puerto Rico,185
