State,Test Score
Connecticut,174
Massachusetts,170
Delaware,163
New York,163
North Carolina,159
Vermont,158
Florida,158
Maine,158
Washington,158
Rhode Island,157
Virginia,157
Ohio,157
Maryland,157
Minnesota,156
Pennsylvania,156
Iowa,155
Nebraska,154
Kentucky,154
Indiana,154
Texas,154
Missouri,151
Wyoming,150
North Dakota,150
Idaho,150
Georgia,149
Montana,149
Hawaii,149
Tennessee,149
Oregon,149
Kansas,149
Michigan,147
West Virginia,147
California,146
Utah,145
Arkansas,145
South Carolina,145
Nevada,145
Oklahoma,142
New Mexico,142
Louisiana,142
Mississippi,141
Alabama,140
Arizona,140
District of Columbia,135
Wisconsin,à
South Dakota,Ñ
Puerto Rico,Ñ
New Jersey,Ñ
New Hampshire,Ñ
Illinois,à
Colorado,Ñ
Alaska,Ñ
