State,Median Household Income 
Alaska,"74,346"
Hawaii,"80,212"
California,"75,277"
Oregon,"63,426"
Washington,"74,073"
Idaho,"55,583"
Nevada,"58,646"
Utah,"71,414"
Arizona,"59,246"
New Mexico,"74,169"
Texas,"60,629"
Louisiana,"47,905"
Mississippi,"44,717"
Alabama,"49,861"
Florida,"55,462"
Georgia,"58,756"
Tennesse,"52,375"
Arkansas,"47,062"
Oklahoma,"51,924"
Kansas,"58,218"
Colorado,"71,953"
Montana,"55,328"
North Dakota,"63,837"
South Dakota,"56,724"
Minnesota,"70,315"
Wyoming,"61,584"
Nebraska,"59,566"
Iowa,"59,955"
Missouri,"54,478"
Wisconsin,"60,773"
Michigan,"56,697"
Illinois,"65,030"
Kentucky,"50,247"
Indiana,"55,746"
Ohio,"56,111"
Pennsylvania,"60,905"
New York,"67,844"
Vermont,"60,782"
Maine,"55,602"
Massachusetts,"79,835"
Connecticut,"76,348"
Rhode Island,"64,340"
New Jersey,"81,740"
Maryland,"83,242"
District of Columbia,"85,203"
Virginia,"72,577"
West Virginia,"44,097"
North Carolina,"53,855"
South Carolina,"52,306"
Delaware,"64,805"
