State,Test Score
Vermont,272
Massachusetts,271
Montana,270
Nebraska,270
Maine,270
Virginia,269
Kansas,269
Ohio,268
Washington,268
Oregon,268
North Dakota,268
Missouri,268
Delaware,267
Connecticut,267
Idaho,266
Pennsylvania,265
Kentucky,265
North Carolina,265
Wyoming,265
Indiana,265
Michigan,265
New York,264
West Virginia,264
Maryland,263
Utah,263
Texas,262
Oklahoma,262
Rhode Island,262
Florida,261
Tennessee,260
Arkansas,260
Georgia,258
South Carolina,258
Arizona,257
Louisiana,256
Mississippi,255
New Mexico,254
Alabama,253
Hawaii,252
Nevada,251
California,250
District of Columbia,240
Wisconsin,à
South Dakota,Ñ
Puerto Rico,Ñ
New Jersey,Ñ
New Hampshire,Ñ
Minnesota,à
Illinois,à
Iowa,Ñ
Colorado,Ñ
Alaska,Ñ
